unique_post_id,stress,historical_split
thread_17958922_starter,6.370370370370369,train
thread_16801847_starter,5.999999999999999,train
412595308,6.7407407407407405,train
409127688,2.0,train
384945479,5.111111111111111,train
thread_17645987_starter,8.0,train
411035591,1.0,train
384802738,5.0,train
412185018,1.0,train
411884706,1.0,train
thread_11272179_starter,4.0,train
348791372,7.0,train
thread_16170774_starter,6.111111111111111,train
255644913,1.0,train
344159000,6.111111111111111,train
thread_9052887_icequeenn_1401/11/10 17:16,5.0,train
413141581,4.0,train
thread_15490586_starter,2.3703703703703702,train
393061150,1.0,train
thread_13420174_starter,7.0,train
373974722,3.111111111111111,train
370925132,1.3703703703703702,train
thread_15784692_starter,7.74074074074074,train
367233917,3.0,train
381038864,2.7407407407407405,train
413605653,5.0,train
342028236,1.3703703703703702,train
411595177,3.740740740740741,train
329363550,1.0,train
407455082,1.0,train
409758059,3.740740740740741,train
341109592,1.0,train
339859434,6.370370370370369,train
374420518,6.0,train
thread_15063413_starter,5.999999999999999,train
thread_15087169_starter,3.0,train
383447534,1.0,train
405001154,4.0,train
408688967,2.3703703703703702,train
409874399,1.0,train
thread_17556974_starter,3.0,train
thread_9966511_arosakjooni_1401/10/05 16:01,4.0,train
347670859,1.0,train
378866355,4.0,train
413947771,4.0,train
thread_16976209_starter,2.3703703703703702,train
402022910,4.481481481481481,train
347085078,1.0,train
363770941,4.0,train
413725491,2.3703703703703702,train
380979059,4.37037037037037,train
thread_15284751_starter,6.481481481481481,train
thread_18137958_starter,7.0,train
410259098,2.0,train
thread_14967261_starter,6.481481481481481,train
384114751,1.0,train
399806255,1.0,train
339682870,5.0,train
thread_16376681_starter,7.0,train
thread_9115890_starter,5.111111111111111,train
406215399,1.0,train
360580456,4.0,train
322634581,3.111111111111111,train
thread_17699986_starter,5.0,train
336205384,1.0,train
thread_8356775_starter,4.7407407407407405,train
333855122,2.3703703703703702,train
406620172,1.3703703703703702,train
375016246,4.0,train
272963019,6.0,train
401542461,7.0,train
thread_18138729_starter,4.0,train
379830024,3.111111111111111,train
408590151,6.7407407407407405,train
thread_13079632_sshabnaam_1402/12/01 14:00,1.0,train
411734297,2.6296296296296293,train
thread_18141829_starter,4.0,train
thread_6624545_آراممممم_1400/03/16 21:53,1.0,train
405586796,2.0,train
413568233,1.0,train
331297965,6.0,train
thread_16861240_starter,4.481481481481481,train
305369936,3.0,train
273009572,2.111111111111111,train
320952895,6.111111111111111,train
329040830,3.0,train
411589556,6.0,train
thread_17616852_starter,6.0,train
thread_15461741_starter,8.74074074074074,train
411875069,1.7407407407407407,train
thread_15780665_starter,5.629629629629629,train
388759073,2.0,train
383269532,1.0,train
thread_17297575_starter,6.0,train
thread_18044313_starter,4.37037037037037,train
399824909,1.0,train
413317606,3.4814814814814814,train
thread_7291377_starter,6.999999999999999,train
382073181,1.0,train
thread_18010311_starter,1.7407407407407407,train
256739742,4.7407407407407405,train
401989730,4.481481481481481,train
thread_16521739_starter,5.0,train
413409634,1.0,train
405638871,6.481481481481481,train
392737375,1.0,train
404143871,1.0,train
400316145,3.111111111111111,train
384964858,5.37037037037037,train
thread_15580398_starter,5.0,train
371524579,4.0,train
360229418,7.111111111111111,train
408898619,6.0,train
318327294,4.481481481481481,train
thread_16671494_starter,1.0,train
413836787,1.3703703703703702,train
342461252,3.740740740740741,train
306895755,3.0,train
413670126,1.3703703703703702,train
408000110,4.0,train
412328603,1.0,train
thread_11168059_کلید۹_1402/03/04 12:22,1.0,train
380897964,4.7407407407407405,train
369330271,1.3703703703703702,train
268458841,1.7407407407407407,train
413354802,1.0,train
thread_11235567_starter,3.0,train
thread_15871327_starter,6.0,train
thread_13844393_starter,7.481481481481481,train
thread_16391443_starter,7.111111111111111,train
341824025,1.0,train
334318930,3.0,train
407551143,5.0,train
413984684,6.111111111111111,train
404332023,1.6296296296296298,train
347667705,6.7407407407407405,train
328856148,1.0,train
thread_7380443_starter,5.7407407407407405,train
325364853,1.0,train
thread_18140235_starter,5.0,train
406574756,1.0,train
thread_18132125_starter,3.4814814814814814,train
331296924,6.111111111111111,train
410425855,3.0,train
thread_17430283_starter,2.0,train
413109037,1.3703703703703702,train
411771396,3.740740740740741,train
413988471,1.0,train
thread_11186657_saeede7598_1402/03/06 20:47,1.0,train
411601986,1.6296296296296298,train
321738278,1.0,train
thread_6530624_fh137275_1400/03/02 01:03,1.0,train
402973688,4.111111111111111,train
298224094,3.0,train
357838242,2.0,train
332301721,3.4814814814814814,train
366298223,1.0,train
355946640,6.0,train
356958409,3.740740740740741,train
347667629,1.0,train
407028864,1.3703703703703702,train
280307922,4.0,train
378156330,5.37037037037037,train
thread_7464489_taranumebahari_1400/07/26 20:05,2.0,train
thread_16110869_starter,7.370370370370369,train
407461762,5.0,train
thread_17870637_starter,3.3703703703703702,train
413975757,3.3703703703703702,train
thread_13045911_starter,7.0,train
404985851,2.0,train
thread_18132012_starter,6.7407407407407405,train
408500145,5.0,train
299812726,2.7407407407407405,train
353835047,1.3703703703703702,train
413954893,4.481481481481481,train
342081465,1.0,train
405745942,1.3703703703703702,train
261005269,1.0,train
343527077,2.6296296296296293,train
thread_17999237_starter,3.111111111111111,train
348801449,6.7407407407407405,train
276203863,1.7407407407407407,train
thread_16383563_starter,8.0,train
thread_9514473_nanajonam_1401/07/24 02:37,6.0,train
thread_18090539_starter,3.3703703703703702,train
343902964,4.481481481481481,train
375089066,1.0,train
375179577,6.0,train
thread_17709543_starter,7.481481481481481,train
290131270,1.0,train
305472176,3.0,train
thread_12008908_starter,5.999999999999999,train
329205968,4.37037037037037,train
thread_18082186_starter,6.7407407407407405,train
thread_16198400_starter,4.7407407407407405,train
thread_17729577_starter,1.0,train
413561979,5.851851851851852,train
291999037,1.0,train
292097414,1.0,train
thread_12260668_starter,3.740740740740741,train
372091003,5.111111111111111,train
356290569,4.7407407407407405,train
344693455,4.481481481481481,train
thread_10314630_starter,6.481481481481481,train
412841863,6.0,train
thread_7825859_نازگل۸۸۸_1400/09/30 18:08,1.3703703703703702,train
388341623,2.6296296296296293,train
288780924,1.0,train
292565904,1.0,train
thread_12639999_starter,7.0,train
328384635,4.0,train
thread_13554770_starter,4.0,train
thread_14190792_starter,5.0,train
397197521,5.0,train
411789793,1.7407407407407407,train
thread_16071629_starter,6.0,train
407688752,1.0,train
375825482,3.0,train
363805448,5.111111111111111,train
286140275,5.7407407407407405,train
345393591,1.6296296296296298,train
270408517,2.259259259259259,train
380354264,1.3703703703703702,train
413024792,6.7407407407407405,train
413780262,6.0,train
406046701,1.0,train
339957132,5.7407407407407405,train
thread_16747183_starter,8.74074074074074,train
343407081,9.0,train
thread_13024186_starter,4.0,train
413598409,5.0,train
thread_17989614_starter,5.0,train
345829845,1.0,train
thread_14050705_starter,2.7407407407407405,train
318834293,3.0,train
400195023,5.0,train
337677590,4.0,train
385639206,1.0,train
401889669,1.0,train
thread_11467811_سپاسه_1402/04/12 15:27,4.0,train
389742426,1.0,train
412796927,1.0,train
401280266,3.740740740740741,train
413176780,2.3703703703703702,train
thread_9730976_starter,3.851851851851852,train
278783626,4.0,train
395772922,1.0,train
362832092,4.37037037037037,train
372584072,1.3703703703703702,train
361814943,3.3703703703703702,train
407626768,3.0,train
403282132,2.0,train
401877655,1.0,train
266146145,2.7407407407407405,train
thread_14808080_starter,5.999999999999999,train
thread_8506003_توسکا95_1401/01/30 02:06,5.481481481481481,train
263317456,1.0,train
thread_17211576_starter,5.0,train
412908181,1.0,train
413202024,1.0,train
thread_13437258_starter,6.111111111111111,train
413957645,1.0,train
thread_17194412_starter,4.0,train
