unique_post_id,selected_canonical,label_source,label_round,final_stress,content_hash
308300129,True,original_dual,original_round,1.0,6be499d51cd95e8e49354fb4827347adcf07c33981f7e89c505e1d525aba6087
308300129,False,active_p2_calibrated,active_learning_round,1.0942455856950868,6be499d51cd95e8e49354fb4827347adcf07c33981f7e89c505e1d525aba6087
394085325,True,original_dual,original_round,1.0,953b8471e7cc9939ae33713d8e97c254e5f07e0952340f1a295ba165cb555688
394085325,False,active_p2_calibrated,active_learning_round,1.8713104343270661,953b8471e7cc9939ae33713d8e97c254e5f07e0952340f1a295ba165cb555688
337616795,True,original_dual,original_round,1.0,2f65f67bc0c0719326fd9bb68a994c955cd3d348a7c832eefd37cfe254cb4280
337616795,False,active_p2_calibrated,active_learning_round,1.0942455856950868,2f65f67bc0c0719326fd9bb68a994c955cd3d348a7c832eefd37cfe254cb4280
380905300,True,original_dual,original_round,1.0,9362fa52d2aa7f7f03149207e4cd69215eb46bf7e1c9d743622edc657a1a0f9a
380905300,False,active_p2_calibrated,active_learning_round,1.0942455856950868,9362fa52d2aa7f7f03149207e4cd69215eb46bf7e1c9d743622edc657a1a0f9a
thread_9675131_حسناامیدم_1401/08/22 22:43,True,original_dual,original_round,1.0,40c77d186ff4135beecb44d95d6f8f512a2aab62d9dfd77668ceb28566107a0b
thread_9675131_حسناامیدم_1401/08/22 22:43,False,active_p2_calibrated,active_learning_round,1.0942455856950868,40c77d186ff4135beecb44d95d6f8f512a2aab62d9dfd77668ceb28566107a0b
